Date,Temp C
3/4/2012,32
4/4/2012,32
5/4/2012,32
6/4/2012,32
7/4/2012,32
8/4/2012,32
9/4/2012,31
10/4/2012,31
11/4/2012,32
12/4/2012,32
13/4/2012 ,32
14/4/2012 ,33
15/4/2012 ,32
16/4/2012 ,32
17/4/2012 ,29
18/4/2012 ,31
19/4/2012 ,32
20/4/2012 ,31
21/4/2012 ,32
22/4/2012 ,32
23/4/2012 ,31
24/4/2012 ,29
25/4/2012 ,31
26/4/2012 ,32
27/4/2012 ,32
28/4/2012 ,32
29/4/2012 ,32
30/4/2012 ,31
1/5/2012,31
2/5/2012,31
3/5/2012,31
4/5/2012,31
5/5/2012,31
6/5/2012,31
7/5/2012,32
8/5/2012,32
9/5/2012,32
10/5/2012,31
11/5/2012,32
12/5/2012,32
13/5/2012 ,32
14/5/2012 ,32
15/5/2012 ,31
16/5/2012 ,31
17/5/2012 ,31
18/5/2012 ,32
19/5/2012 ,32
20/5/2012 ,32
21/5/2012 ,32
22/5/2012 ,32
23/5/2012 ,32
24/5/2012 ,31
25/5/2012 ,31
26/5/2012 ,30
27/5/2012 ,30
28/5/2012 ,31
29/5/2012 ,31
30/5/2012 ,31
31/5/2012 ,31
1/6/2012,31
2/6/2012,32
3/6/2012,31
4/6/2012,30
5/6/2012,31
6/6/2012,30
7/6/2012,31
8/6/2012,30
9/6/2012,30
10/6/2012,30
11/6/2012,30
12/6/2012,30
13/6/2012 ,30
14/6/2012 ,30
15/6/2012 ,31
16/6/2012 ,30
17/6/2012 ,30
18/6/2012 ,30
19/6/2012 ,30
20/6/2012 ,29
21/6/2012 ,29
22/6/2012 ,30
23/6/2012 ,30
24/6/2012 ,30
25/6/2012 ,30
26/6/2012 ,31
27/6/2012 ,30
28/6/2012 ,30
29/6/2012 ,30
30/6/2012 ,30
1/7/2012,29
2/7/2012,30
3/7/2012,29
4/7/2012,30
5/7/2012,30
6/7/2012,30
7/7/2012,29
8/7/2012,29
9/7/2012,28
10/7/2012,30
11/7/2012,30
12/7/2012,30
13/7/2012 ,30
14/7/2012 ,30
15/7/2012 ,30
16/7/2012 ,30
17/7/2012 ,30
18/7/2012 ,30
19/7/2012 ,30
20/7/2012 ,30
21/7/2012 ,30
22/7/2012 ,30
23/7/2012 ,30
24/7/2012 ,30
25/7/2012 ,30
26/7/2012 ,30
27/7/2012 ,30
28/7/2012 ,30
29/7/2012 ,30
30/7/2012 ,30
31/7/2012 ,30
1/8/2012,30
2/8/2012,30
3/8/2012,30
4/8/2012,30
5/8/2012,30
6/8/2012,30
7/8/2012,31
8/8/2012,28
9/8/2012,31
10/8/2012,30
11/8/2012,31
12/8/2012,31
13/8/2012 ,31
14/8/2012 ,31
15/8/2012 ,31
16/8/2012 ,31
17/8/2012 ,29
18/8/2012 ,30
19/8/2012 ,30
20/8/2012 ,30
21/8/2012 ,30
22/8/2012 ,30
23/8/2012 ,31
24/8/2012 ,30
25/8/2012 ,31
26/8/2012 ,30
27/8/2012 ,29
28/8/2012 ,29
29/8/2012 ,29
30/8/2012 ,29
31/8/2012 ,30
1/9/2012,30
2/9/2012,31
3/9/2012,30
4/9/2012,30
5/9/2012,30
6/9/2012,31
7/9/2012,29
8/9/2012,31
9/9/2012,28
10/9/2012,30
11/9/2012,30
12/9/2012,30
13/9/2012 ,31
14/9/2012 ,31
15/9/2012 ,30
16/9/2012 ,30
17/9/2012 ,30
